ingredient_name	occurrence_count	mean_concentration	min_concentration	max_concentration	std_concentration	common_unit	is_documented	priority_score	category
Trace element solution (see Medium No.187	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
Soja peptone	1	1.0	1.0	1.0		g	False	1.0	peptone_digest
Skim milk	1	500.0	500.0	500.0		ml	False	1.0	other_complex
Skim Milk	1	100.0	100.0	100.0		g	False	1.0	other_complex
Sheep blood	1	50.0	50.0	50.0		ml	False	1.0	blood_product
R2A Broth	1	3.0	3.0	3.0		g	False	1.0	complex_medium
Pennassay Broth	1	17.5	17.5	17.5		g	False	1.0	complex_medium
Malt extract	1	0.002	0.002	0.002		g	False	1.0	other_complex
PPLO-Broth	1	1.0	1.0	1.0		g	False	1.0	complex_medium
PPLO Broth	1	80.0	80.0	80.0		ml	False	1.0	complex_medium
Nutrient broth	1	1.0	1.0	1.0		g	False	1.0	complex_medium
Mueller-Hinton broth	1	21.0	21.0	21.0		g	False	1.0	complex_medium
Mineral solution (see Medium No.976)	1	5.0	5.0	5.0		ml	False	1.0	supplement_solution
Mineral solution (see Medium No.976	1	5.0	5.0	5.0		ml	False	1.0	supplement_solution
Trace element solution (see Medium No. 1079])	1	1.0	1.0	1.0		ml	False	1.0	supplement_solution
