medium_id	original	mapped	value	concentration	unit	mmol_l	optional	source	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	hydration_confidence	hydration_parsing_method	corrected_mmol_l	base_compound_for_mapping	hydration_state
dsmz_104b	L-Cysteine HCl x H2O	CHEBI:91247	0.5		g/L			json	L-Cysteine HCl	L-Cysteine HCl	1	L-Cysteine HCl.1H2O	CHEBI:91247	L-cysteine hydrochloride	C3H8ClNO2S	36.458000000000006	18.015	54.473000000000006	high	direct_parse	5.0	L-Cysteine HCl	hydrated
dsmz_104b	D-Glucose	CHEBI:42758	5.0		g/L			json	D-Glucose	D-Glucose	0	D-Glucose	CHEBI:42758	D-glucose	C6H12O6	100.0	0.0	100.0	high	no_hydration	50.0	D-Glucose	anhydrous
dsmz_104b	autoclaving		1.0		ml/L			json	autoclaving	autoclaving	0	autoclaving				100.0	0.0	100.0	high	no_hydration	10.0	autoclaving	anhydrous
dsmz_104b	CaCl2 2-hydrate	CHEBI:3312						json	CaCl2	CaCl2	2	CaCl2.2H2O	CHEBI:3312	calcium chloride	CaCl2	110.98	36.03	147.01	high	direct_parse		CaCl2 2-hydrate	anhydrous
dsmz_104b	MgSO4 7-hydrate	CHEBI:32599						json	MgSO4	MgSO4	7	MgSO4.7H2O	CHEBI:32599	magnesium sulfate	MgO4S	120.37	126.105	246.475	high	direct_parse		MgSO4 7-hydrate	anhydrous
dsmz_104b	K2HPO4	CHEBI:131527						json	K2HPO4	K2HPO4	0	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HK2O4P	100.0	0.0	100.0	high	no_hydration		K2HPO4	anhydrous
dsmz_104b	KH2PO4	CHEBI:63036						json	KH2PO4	KH2PO4	0	KH2PO4	CHEBI:63036	potassium dihydrogen phosphate	H2KO4P	136.09	0.0	136.09	high	no_hydration		KH2PO4	anhydrous
dsmz_104b	NaHCO3	CHEBI:32139						json	NaHCO3	NaHCO3	0	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	CHNaO3	100.0	0.0	100.0	high	no_hydration		NaHCO3	anhydrous
dsmz_104b	NaCl	CHEBI:26710						json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration		NaCl	anhydrous
dsmz_886	KH2PO4	CHEBI:63036	0.5		g/L			json	KH2PO4	KH2PO4	0	KH2PO4	CHEBI:63036	potassium dihydrogen phosphate	H2KO4P	136.09	0.0	136.09	high	no_hydration	3.674039	KH2PO4	anhydrous
dsmz_886	NH4Cl	CHEBI:31206	0.5		g/L			json	NH4Cl	NH4Cl	0	NH4Cl	CHEBI:31206	ammonium chloride	ClH4N	53.49	0.0	53.49	high	no_hydration	9.347542	NH4Cl	anhydrous
dsmz_886	NaCl	CHEBI:26710	0.5		g/L			json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration	8.555784	NaCl	anhydrous
dsmz_886	MgCl2 6-hydrate	CHEBI:6636	0.6		g/L			json	MgCl2	MgCl2	6	MgCl2.6H2O	CHEBI:6636	magnesium chloride	Cl2Mg	95.21	108.09	203.3	high	direct_parse	6.0	MgCl2 6-hydrate	anhydrous
dsmz_886	CaCl2	CHEBI:3312	0.1		g/L			json	CaCl2	CaCl2	0	CaCl2	CHEBI:3312	calcium chloride	CaCl2	110.98	0.0	110.98	high	no_hydration	0.901063	CaCl2	anhydrous
dsmz_886	Na2CO3	CHEBI:29377	2.5		g/L			json	Na2CO3	Na2CO3	0	Na2CO3	CHEBI:29377	sodium carbonate	CNa2O3	100.0	0.0	100.0	high	no_hydration	25.0	Na2CO3	anhydrous
dsmz_886	NaHCO3	CHEBI:32139	2.5		g/L			json	NaHCO3	NaHCO3	0	NaHCO3	CHEBI:32139	sodium hydrogencarbonate	CHNaO3	100.0	0.0	100.0	high	no_hydration	25.0	NaHCO3	anhydrous
dsmz_886	Na-acetate	CHEBI:88550	1.0		g/L			json	Na-acetate	Na-acetate	0	Na-acetate	CHEBI:88550	sodium acetate	C2H3NaO2	100.0	0.0	100.0	high	no_hydration	10.0	Na-acetate	anhydrous
dsmz_886	Yeast extract	CAS-RN:8013-01-2	0.5		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	5.0	Yeast extract	anhydrous
dsmz_886	Na2S 9-hydrate	CHEBI:75769	0.4		g/L			json	Na2S	Na2S	9	Na2S.9H2O	CHEBI:75769	sodium sulfide	Na2S	78.05	162.135	240.185	high	direct_parse	4.0	Na2S 9-hydrate	anhydrous
dsmz_886	Biotin	CHEBI:15956	20.0		ml/L			json	Biotin	Biotin	0	Biotin	CHEBI:15956	biotin	C10H16N2O3S	100.0	0.0	100.0	high	no_hydration	200.0	Biotin	anhydrous
dsmz_886	ZnSO4 7-hydrate	CHEBI:35176						json	ZnSO4	ZnSO4	7	ZnSO4.7H2O	CHEBI:35176	zinc sulfate	O4SZn	161.47	126.105	287.575	high	direct_parse		ZnSO4 7-hydrate	anhydrous
dsmz_886	MnCl2 4-hydrate	CHEBI:7773						json	MnCl2	MnCl2	4	MnCl2.4H2O	CHEBI:7773	manganese(2+) chloride	Cl2Mn	125.84	72.06	197.9	high	direct_parse		MnCl2 4-hydrate	anhydrous
dsmz_886	H3BO3	CHEBI:33118						json	H3BO3	H3BO3	0	H3BO3	CHEBI:33118	boric acid	BH3O3	100.0	0.0	100.0	high	no_hydration		H3BO3	anhydrous
dsmz_886	CoCl2 6-hydrate	CHEBI:35696						json	CoCl2	CoCl2	6	CoCl2.6H2O	CHEBI:35696	cobalt(2+) chloride	Cl2Co	129.84	108.09	237.93	high	direct_parse		CoCl2 6-hydrate	anhydrous
dsmz_886	CuCl2 2-hydrate	CHEBI:49553						json	CuCl2	CuCl2	2	CuCl2.2H2O	CHEBI:49553	copper(2+) chloride	Cl2Cu	134.45	36.03	170.48	high	direct_parse		CuCl2 2-hydrate	anhydrous
dsmz_886	NiCl2 6-hydrate	CHEBI:34887						json	NiCl2	NiCl2	6	NiCl2.6H2O	CHEBI:34887	nickel(2+) chloride	Cl2Ni	129.6	108.09	237.69	high	direct_parse		NiCl2 6-hydrate	anhydrous
dsmz_886	Na2MoO4 2-hydrate	CHEBI:75215						json	Na2MoO4	Na2MoO4	2	Na2MoO4.2H2O	CHEBI:75215	sodium molybdate	MoNa2O4	205.92	36.03	241.95	high	direct_parse		Na2MoO4 2-hydrate	anhydrous
dsmz_959a	NaCl	CHEBI:26710	26.0		g/L			json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration	444.900753	NaCl	anhydrous
dsmz_959a	MgCl2 6-hydrate	CHEBI:6636	0.5		g/L			json	MgCl2	MgCl2	6	MgCl2.6H2O	CHEBI:6636	magnesium chloride	Cl2Mg	95.21	108.09	203.3	high	direct_parse	5.0	MgCl2 6-hydrate	anhydrous
dsmz_959a	CaCl2 2-hydrate	CHEBI:3312	0.1		g/L			json	CaCl2	CaCl2	2	CaCl2.2H2O	CHEBI:3312	calcium chloride	CaCl2	110.98	36.03	147.01	high	direct_parse	1.0	CaCl2 2-hydrate	anhydrous
dsmz_959a	NH4Cl	CHEBI:31206	1.0		g/L			json	NH4Cl	NH4Cl	0	NH4Cl	CHEBI:31206	ammonium chloride	ClH4N	53.49	0.0	53.49	high	no_hydration	18.695083	NH4Cl	anhydrous
dsmz_959a	KCl	CHEBI:32588	0.2		g/L			json	KCl	KCl	0	KCl	CHEBI:32588	potassium chloride	ClK	74.55	0.0	74.55	high	no_hydration	2.682763	KCl	anhydrous
dsmz_959a	K2HPO4	CHEBI:131527	3.4		g/L			json	K2HPO4	K2HPO4	0	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HK2O4P	100.0	0.0	100.0	high	no_hydration	34.0	K2HPO4	anhydrous
dsmz_959a	KH2PO4	CHEBI:63036	0.35		g/L			json	KH2PO4	KH2PO4	0	KH2PO4	CHEBI:63036	potassium dihydrogen phosphate	H2KO4P	136.09	0.0	136.09	high	no_hydration	2.571827	KH2PO4	anhydrous
dsmz_959a	Yeast extract	CAS-RN:8013-01-2	0.35		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	3.5	Yeast extract	anhydrous
dsmz_959a	Trypticase peptone		2.72		g/L			json	Trypticase peptone	Trypticasepeptone	0	Trypticasepeptone				100.0	0.0	100.0	high	no_hydration	27.2	Trypticase peptone	anhydrous
dsmz_959a	Sodium resazurin	CAS-RN:62758-13-8	2.0		g/L			json	Sodium resazurin	Sodiumresazurin	0	Sodiumresazurin				100.0	0.0	100.0	high	no_hydration	20.0	Sodium resazurin	anhydrous
dsmz_959a	Na2S 9-hydrate	CHEBI:75769	2.0		g/L			json	Na2S	Na2S	9	Na2S.9H2O	CHEBI:75769	sodium sulfide	Na2S	78.05	162.135	240.185	high	direct_parse	20.0	Na2S 9-hydrate	anhydrous
dsmz_860	NH4Cl	CHEBI:31206	1.0		g/L			json	NH4Cl	NH4Cl	0	NH4Cl	CHEBI:31206	ammonium chloride	ClH4N	53.49	0.0	53.49	high	no_hydration	18.695083	NH4Cl	anhydrous
dsmz_860	K2HPO4	CHEBI:131527	0.3		g/L			json	K2HPO4	K2HPO4	0	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HK2O4P	100.0	0.0	100.0	high	no_hydration	3.0	K2HPO4	anhydrous
dsmz_860	KH2PO4	CHEBI:63036	0.3		g/L			json	KH2PO4	KH2PO4	0	KH2PO4	CHEBI:63036	potassium dihydrogen phosphate	H2KO4P	136.09	0.0	136.09	high	no_hydration	2.204424	KH2PO4	anhydrous
dsmz_860	MgCl2 6-hydrate	CHEBI:6636	0.2		g/L			json	MgCl2	MgCl2	6	MgCl2.6H2O	CHEBI:6636	magnesium chloride	Cl2Mg	95.21	108.09	203.3	high	direct_parse	2.0	MgCl2 6-hydrate	anhydrous
dsmz_860	CaCl2 2-hydrate	CHEBI:3312	0.1		g/L			json	CaCl2	CaCl2	2	CaCl2.2H2O	CHEBI:3312	calcium chloride	CaCl2	110.98	36.03	147.01	high	direct_parse	1.0	CaCl2 2-hydrate	anhydrous
dsmz_860	KCl	CHEBI:32588	0.1		g/L			json	KCl	KCl	0	KCl	CHEBI:32588	potassium chloride	ClK	74.55	0.0	74.55	high	no_hydration	1.341382	KCl	anhydrous
dsmz_860	NaCl	CHEBI:26710	0.6		g/L			json	NaCl	NaCl	0	NaCl	CHEBI:26710	sodium chloride	NaCl	58.44	0.0	58.44	high	no_hydration	10.26694	NaCl	anhydrous
dsmz_860	Yeast extract	CAS-RN:8013-01-2	1.0		g/L			json	Yeast extract	Yeastextract	0	Yeastextract				100.0	0.0	100.0	high	no_hydration	10.0	Yeast extract	anhydrous
dsmz_860	Sodium resazurin	CAS-RN:62758-13-8	1.5		ml/L			json	Sodium resazurin	Sodiumresazurin	0	Sodiumresazurin				100.0	0.0	100.0	high	no_hydration	15.0	Sodium resazurin	anhydrous
dsmz_860	Na2CO3	CHEBI:29377	0.5		ml/L			json	Na2CO3	Na2CO3	0	Na2CO3	CHEBI:29377	sodium carbonate	CNa2O3	100.0	0.0	100.0	high	no_hydration	5.0	Na2CO3	anhydrous
dsmz_860	D-Fructose	CHEBI:48095	1.5		g/L			json	D-Fructose	D-Fructose	0	D-Fructose	CHEBI:48095	D-fructose	C6H12O6	100.0	0.0	100.0	high	no_hydration	15.0	D-Fructose	anhydrous
dsmz_860	L-Cysteine HCl x H2O	CHEBI:91247	4.0		g/L			json	L-Cysteine HCl	L-Cysteine HCl	1	L-Cysteine HCl.1H2O	CHEBI:91247	L-cysteine hydrochloride	C3H8ClNO2S	36.458000000000006	18.015	54.473000000000006	high	direct_parse	40.0	L-Cysteine HCl	hydrated
dsmz_860	Na2S 9-hydrate	CHEBI:75769	0.5		g/L			json	Na2S	Na2S	9	Na2S.9H2O	CHEBI:75769	sodium sulfide	Na2S	78.05	162.135	240.185	high	direct_parse	5.0	Na2S 9-hydrate	anhydrous
dsmz_860	FeCl2 4-hydrate	CHEBI:30808						json	FeCl2	FeCl2	4	FeCl2.4H2O	CHEBI:30808	iron(2+) chloride	Cl2Fe	126.75	72.06	198.81	high	direct_parse		FeCl2 4-hydrate	anhydrous
dsmz_860	ZnCl2	CHEBI:49976						json	ZnCl2	ZnCl2	0	ZnCl2	CHEBI:49976	zinc chloride	Cl2Zn	100.0	0.0	100.0	high	no_hydration		ZnCl2	anhydrous
dsmz_860	MnCl2 4-hydrate	CHEBI:7773						json	MnCl2	MnCl2	4	MnCl2.4H2O	CHEBI:7773	manganese(2+) chloride	Cl2Mn	125.84	72.06	197.9	high	direct_parse		MnCl2 4-hydrate	anhydrous
dsmz_860	H3BO3	CHEBI:33118						json	H3BO3	H3BO3	0	H3BO3	CHEBI:33118	boric acid	BH3O3	100.0	0.0	100.0	high	no_hydration		H3BO3	anhydrous
dsmz_860	CoCl2 6-hydrate	CHEBI:35696						json	CoCl2	CoCl2	6	CoCl2.6H2O	CHEBI:35696	cobalt(2+) chloride	Cl2Co	129.84	108.09	237.93	high	direct_parse		CoCl2 6-hydrate	anhydrous
dsmz_860	CuCl2 2-hydrate	CHEBI:49553						json	CuCl2	CuCl2	2	CuCl2.2H2O	CHEBI:49553	copper(2+) chloride	Cl2Cu	134.45	36.03	170.48	high	direct_parse		CuCl2 2-hydrate	anhydrous
