medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
ccap_ANT_composition	FeCl3.6H2O	CHEBI:86254	iron trichloride hexahydrate	Cl3Fe.6H2O	1.0		g			json		6							original_only	good	FeCl3	FeCl3		FeCl3.6H2O	CHEBI:30808				hydrate_pattern	high		162.2	108.09	270.28999999999996	3.69973			no_match
ccap_ANT_composition	KNO3	CHEBI:17632	nitrate	NO3	1.0		g			json		0							original_only	good	KNO3	KNO3		KNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ANT_composition	MnSO4.4H2O	CHEBI:86358	manganese(II) sulfate tetrahydrate	4H2O.Mn.O4S	1.0		g			json		4							original_only	good	MnSO4	MnSO4		MnSO4.4H2O	CHEBI:135251				hydrate_pattern	high		151.0	72.06	223.06	4.483099			no_match
ccap_ANT_composition	Na2MoO4.2H2O	CHEBI:75213	sodium molybdate dihydrate	2H2O.MoO4.2Na	2.0		M			json		2							original_only	good	Na2MoO4	Na2MoO4		Na2MoO4.2H2O					hydrate_pattern	high		100.0	36.03	136.03	14.702639			no_match
ccap_ANT_composition	NaH2PO4.2H2O	ingredient:nah2po4_2h2o			1.0		g			json		2							original_only	good	NaH2PO4	NaH2PO4		NaH2PO4.2H2O					hydrate_pattern	high		100.0	36.03	136.03	7.35132			no_match
ccap_ANT_composition	Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl	1.0		g			json		0							original_only	good	Thiamine HCl	ThiamineHCl		ThiamineHCl					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ANT_composition	Tris [tris(hydroxymethyl)aminomethane]	CHEBI:9754	tris	C4H11NO3	1.0		g			json		0							original_only	good	Tris [tris(hydroxymethyl)aminomethane]	Tris[tris(hydroxymethyl)aminomethane]		Tris[tris(hydroxymethyl)aminomethane]					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ANT_composition	ZnSO4.7H2O	CHEBI:32312	zinc sulfate heptahydrate	7H2O.O4S.Zn	1.0		g			json		7							original_only	good	ZnSO4	ZnSO4		ZnSO4.7H2O	CHEBI:62984				hydrate_pattern	high		161.47	126.105	287.575	3.477354			no_match
ccap_ASWP_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASWP_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
ccap_ASWP_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_150_composition	NaCl	CHEBI:26710	sodium chloride	Cl.Na	0.65		g			json		0							original_only	good	NaCl	NaCl		NaCl	CHEBI:26710				no_hydration	high		58.44	0.0	58.44	11.122519			
ccap_ASW_300_composition	NaCl	CHEBI:26710	sodium chloride	Cl.Na	1.3		g			json		0							original_only	good	NaCl	NaCl		NaCl	CHEBI:26710				no_hydration	high		58.44	0.0	58.44	22.245038			
ccap_ASW_BG_composition	Co(NO3)2.6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3	1.0		g			json		6							original_only	good	Co(NO3)2	Co(NO3)2		Co(NO3)2.6H2O					hydrate_pattern	high		100.0	108.09	208.09	4.805613			no_match
ccap_ASW_BG_composition	CuSO4.5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S	1.0		g			json		5							original_only	good	CuSO4	CuSO4		CuSO4.5H2O	CHEBI:23414				hydrate_pattern	very_high		159.61	90.075	249.685	4.005046			no_match
ccap_ASW_BG_composition	H3BO3	CHEBI:33118	boric acid	H3BO3	1.0		g			json		0							original_only	good	H3BO3	H3BO3		H3BO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_BG_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
