original	mapped	chebi_label	chebi_formula
Urea	CHEBI:16199	urea	CH4N2O
Ethanol	CHEBI:16236	ethanol	C2H6O
FAD	CHEBI:16238	FAD	C27H33N9O15P2
L-Cystine	CHEBI:16283	L-cystine	C6H12N2O4S2
Pyridoxamine	CHEBI:16410	pyridoxamine	C8H12N2O2
L-Valine	CHEBI:16414	L-valine	C5H11NO2
L-Arginine	CHEBI:16467	L-arginine	C6H14N4O2
Lipoic acid	CHEBI:16494	lipoic acid	C8H14O2S2
D(+)-Trehalose	CHEBI:16551	alpha,alpha-trehalose	C12H22O11
Raffinose	CHEBI:16634	raffinose	C18H32O16
L-Methionine	CHEBI:16643	L-methionine	C5H11NO2S
Pyridoxine	CHEBI:16709	pyridoxine	C8H11NO3
Na2 α-ketoglutarate	CHEBI:16810	2-oxoglutarate(2-)	C5H4O5
2-Oxoglutarate	CHEBI:16810	2-oxoglutarate(2-)	C5H4O5
DL-Methionine	CHEBI:16811	methionine	C5H11NO2S
L-Tryptophan	CHEBI:16828	L-tryptophan	C11H12N2O2
Methylamine	CHEBI:16830	methylamine	CH5N
Glutathione	CHEBI:16856	glutathione	C10H17N3O6S
L-Threonine	CHEBI:16857	L-threonine	C4H9NO3
Calcium D(+)-Pantthenate	CHEBI:1687714		
D-Mannitol	CHEBI:16899	D-mannitol	C6H14O6
Creatine	CHEBI:16919	creatine	C4H9N3O2
L-Alanine	CHEBI:16977	L-alanine	C3H7NO2
Fish-Sperm DNA	CHEBI:16991	deoxyribonucleic acid	
Riboflavine (B2)	CHEBI:17015	riboflavin	C17H20N4O6
Riboflavin	CHEBI:17015	riboflavin	C17H20N4O6
L-Aspartic acid	CHEBI:17053	L-aspartic acid	C4H7NO4
Cellobiose	CHEBI:17057	cellobiose	C12H22O11
L-Serine	CHEBI:17115	L-serine	C3H7NO3
Na-caproate	CHEBI:17120	hexanoate	C6H11O2
Nicotinamide	CHEBI:17154	nicotinamide	C6H6N2O
L-Isoleucine	CHEBI:17191	L-isoleucine	C6H13NO2
L-Asparagine	CHEBI:17196	L-asparagine	C4H8N2O3
L-Asparagin	CHEBI:17196	L-asparagine	C4H8N2O3
Glycylglycine	CHEBI:17201	glycylglycine	C4H8N2O3
L-Proline	CHEBI:17203	L-proline	C5H9NO2
myo-Inositol	CHEBI:17268	myo-inositol	C6H12O6
Na2-ß-glycerophosphate	CHEBI:17270	glycerol 2-phosphate	C3H9O6P
Na-propionate	CHEBI:17272	propionate	C3H5O2
L-Phenylalanine	CHEBI:17295	L-phenylalanine	C9H11NO2
Tetrachloroethene	CHEBI:17300	tetrachloroethene	C2Cl4
n-Valeric acid	CHEBI:17418	valeric acid	C5H10O2
Valeric acid	CHEBI:17418	valeric acid	C5H10O2
Cyanocobalamin in	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P
Cyanocobalamin	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P
Mm Bicarbonate	CHEBI:17544		
L-cysteine-HCl x H2O	CHEBI:17561	L-cysteine	C3H7NO2S
Cysteine-HCL x H2O	CHEBI:17561	L-cysteine	C3H7NO2S
Cysteine-HCl x H2O	CHEBI:17561	L-cysteine	C3H7NO2S
L-Cysteine-HCl x H2O	CHEBI:17561	L-cysteine	C3H7NO2S
L-Cysteine	CHEBI:17561	L-cysteine	C3H7NO2S
Uracil	CHEBI:17568	uracil	C4H4N2O2
Toluene	CHEBI:17578	toluene	C7H8
KNO3	CHEBI:17632	nitrate	NO3
Vitamin 3	CHEBI:176839	vitamin B3	
Vitamin B12  (9)	CHEBI:176843	vitamin B12	
VitaminB12	CHEBI:176843	vitamin B12	
Vitamin B12  (4)	CHEBI:176843	vitamin B12	
Vitamin B12  (8)	CHEBI:176843	vitamin B12	
Vitamin B12	CHEBI:176843	vitamin B12	
Betaine	CHEBI:17750	glycine betaine	C5H11NO2
L-Glutathione (reduced)	CHEBI:177535	L-Glutathione (reduced)	C10H17N3O6S
Methanol	CHEBI:17790	methanol	CH4O
HCl.	CHEBI:17883	hydrogen chloride	HCl
HCl	CHEBI:17883	hydrogen chloride	HCl
L-Tyrosine	CHEBI:17895	L-tyrosine	C9H11NO3
Coenzyme M	CHEBI:17905	coenzyme M	C2H6O3S2
D-Sorbitol	CHEBI:17924	D-glucitol	C6H14O6
Na-butyrate	CHEBI:17968	butyrate	C4H7O2
Sucrose	CHEBI:17992	sucrose	C12H22O11
Fumaric acid	CHEBI:18012	fumaric acid	C4H4O4
L-Lysine	CHEBI:18019	L-lysine	C6H14N2O2
L-Glutamine	CHEBI:18050	L-glutamine	C5H10N2O3
4-Hydroxyphenyl acetic acid	CHEBI:18101	4-hydroxyphenylacetic acid	C8H8O3
Pyrocatechol	CHEBI:18135	catechol	C6H6O2
Maltose	CHEBI:18167	alpha-maltose	C12H22O11
Xylose	CHEBI:18222	xylose	C5H10O5
Glutamic acid	CHEBI:18237	glutamic acid	C5H9NO4
L-Fucose	CHEBI:18287	L-fucose	C6H12O5
Co Carboxylase	CHEBI:18290	thiamine(1+) diphosphate chloride	C12H19N4O7P2S.Cl
Thiamine (B1)	CHEBI:18385	thiamine(1+)	C12H17N4OS
CAPSO	CHEBI:183882		
Na-gluconate	CHEBI:18391	D-gluconate	C6H11O7
