original_name	mapped_id	chebi_label	chebi_formula
Nicotinate	CHEBI:10716816		
Nicotine amide	PubChem:936		
Nicotinic Acid	CHEBI:15940	nicotinic acid	C6H5NO2
Nicotinic acid	CHEBI:15940	nicotinic acid	C6H5NO2
Nicotinic acid (PP)	CHEBI:15940	nicotinic acid	C6H5NO2
Nicotinic Acid	CHEBI:15940	nicotinic acid	C6H5NO2
NiSO4 x 6 H2O	CHEBI:53001	nickel sulfate	Ni.O4S
NiSO4 x 7 H2O	CHEBI:53001	nickel sulfate	Ni.O4S
Nitrilotriacetate	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetate (NTA)	CHEBI:25548	nitrilotriacetate(3-)	C6H6NO6
Nitrilotriacetic Acid	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetic acid	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetic acid (NTA)	CHEBI:44557	nitrilotriacetic acid	C6H9NO6
Nitrilotriacetic acid trisodium salt monohydrate	PubChem:29194		
Nitrilotriacetic acid, trisodium salt	CHEBI:132766	sodium nitrilotriacetate	C6H6NO6.3Na
Nutrient broth	medium:J663		
Nutrient Broth	medium:J663		
Nutrients	CHEBI:33284	nutrient	
Oat flakes	CAS-RN:84012-26-0		
Olive oil	CAS-RN:8001-25-0		
P-Aminobenzoic acid	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
p-Aminobenzoic acid	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
PABA	CHEBI:30753	4-aminobenzoic acid	C7H7NO2
Pantothenic acid	CHEBI:7916	pantothenic acid	C9H17NO5
Pennassay Broth	ingredient:559		
Peptone	CAS-RN:73049-73-7		
peptone	CAS-RN:73049-73-7		
Peptone (Oxoid)	ingredient:2398		
Peptone mixture	ingredient:156		
Phenyl acetic acid	CHEBI:30745	phenylacetic acid	C8H8O2
Phenyl propionic acid	CHEBI:501520		
Phosphate buffer stock solution	ingredient:1900		
Phosphates solution	ingredient:2026		
Phytone peptone	ingredient:125		
PIPES	CHEBI:39033	PIPES	
PIPES buffer	PUBCHEM.COMPOUND:79723.0		
PJ/NN	medium:C77		
Poly hexamethylene carbonate (PHC)*	CAS-RN:61630-98-6		
Polypeptone	ingredient:442		
Potassium acetate	CHEBI:32029	potassium acetate	C2H3O2.K
Potassium Aspartate	CAS-RN:7259-25-8		
potassium chloride	CHEBI:32588	potassium chloride	Cl.K
Potassium Glutamate	CAS-RN:19473-49-5		
potassium phosphate monobasic	CHEBI:63036	potassium dihydrogen phosphate	H2O4P.K
Potato	CAS-RN:93348-51-7		
PPLO Broth	ingredient:pplo_broth		
PPLO broth	ingredient:pplo_broth		
PPLO-Broth	ingredient:pplo_broth		
PrCl3 x H2O	PUBCHEM.COMPOUND:66317.0		
Propionic acid	CHEBI:30768	propionic acid	C3H6O2
Pullulan	CHEBI:27941	pullulan	(C37H62O30)n
Putrescine	CHEBI:326268	1,4-butanediammonium	C4H14N2
Pyridoxal phosphate	CHEBI:18405	pyridoxal 5'-phosphate	C8H10NO6P
Pyridoxal·HCl	CHEBI:131529	pyridoxal hydrochloride	C8H9NO3.HCl
Pyridoxamine	CHEBI:16410	pyridoxamine	C8H12N2O2
Pyridoxamine dihydrochloride	CHEBI:131532	pyridoxamine dihydrochloride	C8H12N2O2.2HCl
Pyridoxamine Dihydrochloride	CHEBI:131532	pyridoxamine dihydrochloride	C8H12N2O2.2HCl
Pyridoxamine-HCl	CHEBI:131531	pyridoxamine hydrochloride	C8H12N2O2.HCl
Pyridoxamine·2HCl	CHEBI:131532	pyridoxamine dihydrochloride	C8H12N2O2.2HCl
Pyridoxamine·HCl	CHEBI:131531	pyridoxamine hydrochloride	C8H12N2O2.HCl
Pyridoxine	CHEBI:16709	pyridoxine	C8H11NO3
Pyridoxine HCl	CHEBI:131531	pyridoxamine hydrochloride	C8H12N2O2.HCl
Pyridoxine hydrochloride	CHEBI:30961	pyridoxine hydrochloride	C8H11NO3.HCl
Pyridoxine-HCl	CHEBI:131531	pyridoxamine hydrochloride	C8H12N2O2.HCl
Pyridoxine·HCl	CHEBI:131531	pyridoxamine hydrochloride	C8H12N2O2.HCl
Pyrocatechol	CHEBI:18135	catechol	C6H6O2
Pyruvate	CHEBI:15361	pyruvate	C3H3O3
QF	CHEBI:141430	Gln-Phe	C14H19N3O4
Quinic acid	CHEBI:26493	quinic acid	
R2A Broth	medium:J839		
Raffinose	CHEBI:16634	raffinose	C18H32O16
Resazurin	CHEBI:8806	Resazurin	C12H7NO4
Riboflavin	CHEBI:17015	riboflavin	C17H20N4O6
Riboflavin solution (see Medium No.462)*	ingredient:1893		
Riboflavine (B2)	CHEBI:17015	riboflavin	C17H20N4O6
Rice starch	ingredient:2354		
RPL/0.01% RPA	medium:C85		
Rye-bran	ingredient:1880		
S77 + vitamins	medium:C102		
S88 + Vitamins	medium:C103		
Sake	ingredient:1604		
Salt Solution I	ingredient:1143		
Sea Salt	ingredient:423		
Selenite tungstate solution (see Medium No.431)	ingredient:1921		
Selenite-Tungstate solution	ingredient:88		
Selenite-tungstate solution	ingredient:88		
Selenite-tungstate solution (see Medium No.431)	ingredient:1921		
Selenite-tungstate solution (see Medium No.554)	ingredient:1921		
Selenite-tungstate solution (see Medium No.862)	ingredient:1921		
Selenite-tungstate solution(see Medium No.554)	ingredient:1921		
Selenite-Tungstate solution* (see Medium No.431)	ingredient:1921		
Selenite-tungstate solution* (see Medium No.431)	ingredient:1921		
Selenite-Tungstate Solution:	ingredient:88		
Sheep blood	ingredient:2047		
Sigma Sea salts	ingredient:925		
SiO2	CHEBI:30563	silicon dioxide	O2Si
SL-6 trace element solution (see Medium No.167)	ingredient:1886		
SL10	ingredient:1387		
Small dried sardine	ingredient:1986		
SnCl2 x 2 H2O	CHEBI:78067	tin(II) chloride (anhydrous)	2Cl.Sn
SnCl2·2H2O	CHEBI:78074	tin(II) chloride dihydrate	2Cl.2H2O.Sn
sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium Acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium acetate	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium acetate trihydrate	CHEBI:32138	sodium acetate trihydrate	C2H3O2.3H2O.Na
Sodium acetate x 3 H2O	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium acetate·3H2O	CHEBI:32954	sodium acetate	C2H3O2.Na
Sodium ascorbate	CHEBI:113451	sodium ascorbate	C6H7O6.Na
Sodium benzoate	CHEBI:113455	sodium benzoate	C7H5O2.Na
sodium bicarbonate	CAS-RN:144-55-8		
Sodium butyrate	CHEBI:64103	sodium butyrate	C4H7O2.Na
Sodium caproate	CHEBI:114126	sodium hexanoate	C6H11O2.Na
Sodium carbonate	CHEBI:29377	sodium carbonate	CO3.2Na
Sodium Citrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Sodium citrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Sodium dithionite	CHEBI:66870	sodium dithionite	2Na.O4S2
Sodium DL-lactate	CHEBI:232798	sodium L-lactate	C3H5O3.Na
Sodium DL-malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium formate	CHEBI:62965	sodium formate	CHO2.Na
Sodium fumarate	CHEBI:115156	disodium fumarate	C4H2O4.2Na
Sodium gluconate	CHEBI:84997	sodium gluconate	C6H11O7.Na
Sodium glutamate	CHEBI:64220	monosodium glutamate	C5H8NO4.Na
Sodium glutamate·H2O	CHEBI:64220	monosodium glutamate	C5H8NO4.Na
Sodium glycerophosphate	PubChem:14754		
Sodium L-lactate	CHEBI:232798	sodium L-lactate	C3H5O3.Na
Sodium L-malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium lactate	CHEBI:75228	sodium lactate	C3H5O3.Na
Sodium malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
sodium malate	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium Malate And	CHEBI:91261	disodium (S)-malate	C4H4O5.2Na
Sodium maleate	CHEBI:91263	disodium maleate	C4H2O4.2Na
Sodium nitrate	CHEBI:63005	sodium nitrate	NO3.Na
Sodium octanoate	CHEBI:132100	sodium octanoate	C8H15O2.Na
Sodium palmitate	CAS-RN:408-35-5		
sodium phosphate dibasic	CHEBI:37583	trisodium phosphate	3Na.O4P
Sodium polygalacturonate	CAS-RN:9049-37-0		
Sodium pyrophosphate	CHEBI:71240	sodium diphosphate	4Na.O7P2
Sodium Pyruvate	CHEBI:50144	sodium pyruvate	C3H3O3.Na
Sodium pyruvate	CHEBI:50144	sodium pyruvate	C3H3O3.Na
Sodium silicate	CHEBI:60720	sodium silicate	2Na.O3Si
Sodium succinate	CHEBI:63675	sodium succinate (anhydrous)	C4H4O4.2Na
Sodium tartrate	CHEBI:63017	sodium L-tartrate	C4H4O6.2Na
Sodium thioglycolate	CHEBI:86481	sodium thioglycolate	C2H3O2S.Na
Sodium β-glycerophosphate	PubChem:14754		
Sodiumcitrate	CHEBI:32142	sodium citrate dihydrate	C6H5O7.2H2O.3Na
Soja peptone	CAS-RN:91079-46-8		
Solution :	ingredient:485		
Solution A	ingredient:485		
SOLUTION A	ingredient:485		
Solution A:	ingredient:485		
Sorbitol	CHEBI:30911	glucitol	C6H14O6
soy peptone	CAS-RN:91079-46-8		
Soy peptone	CAS-RN:91079-46-8		
Soya peptone	CAS-RN:91079-46-8		
Soytone	CHEBI:8150		
SrCl	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl 2	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl2	CHEBI:36383	strontium dichloride	2Cl.Sr
SrCl2 x 6 H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2 x 6 H2O (0.1% w/v)	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2.6H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrCl2·6H2O	CHEBI:36385	strontium dichloride hexahydrate	Cl2Sr.6H2O
SrSO4	CAS-RN:7759-02-6		
Starch	CHEBI:85248	gellan gum	
Stearic acid	CHEBI:28842	octadecanoic acid	C18H36O2
Succinate	CHEBI:26806	succinate	
Succinic acid	CHEBI:15741	succinic acid	C4H6O4
Sucrose	CHEBI:17992	sucrose	C12H22O11
Sulfur	CHEBI:26833	sulfur atom	S
Sulfur (powder)	CHEBI:14258		
Syringic  acid	PUBCHEM.COMPOUND:10742.0		
TAPSO	CAS-RN:90549-86-3		
TES	CHEBI:39035	TES	
Tetrachloroethene	CHEBI:17300	tetrachloroethene	C2Cl4
Tetramethyl ammonium	CAS-RN:51-92-3		
Thiamin HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamin-HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine	CHEBI:26948	vitamin B1	
Thiamine (B1)	CHEBI:18385	thiamine(1+)	C12H17N4OS
Thiamine Dihydrochloride	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	C12H19N4O7P2S
Thiamine solution (see Medium No.403)	ingredient:1856		
Thiamine solution (see Medium No.403)*	ingredient:1856		
Thiamine solution* (see Medium No.403)	ingredient:1856		
Thiamine-HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thiamine·HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl
Thioctic acid	CHEBI:30314	(R)-lipoic acid	C8H14O2S2
Thioglycolate	CHEBI:47869	thioglycolate(2-)	C2H2O2S
Toluene	CHEBI:17578	toluene	C7H8
Trace element solution (see Medium No. 1079])	ingredient:1886		
Trace element solution (see Medium No.1079)	ingredient:1886		
Trace element solution (see Medium No.128)	ingredient:1886		
Trace element solution (see Medium No.167)	ingredient:1886		
Trace element solution (see Medium No.187	ingredient:1886		
Trace element solution (see Medium No.187)	ingredient:1886		
Trace element solution (see Medium No.231)	ingredient:1886		
Trace element solution (see Medium No.243)	ingredient:1886		
Trace element solution (see Medium No.284)	ingredient:1886		
Trace element solution (see Medium No.294)	ingredient:1886		
Trace element solution (see Medium No.301)	ingredient:1886		
Trace element solution (see Medium No.439)	ingredient:1886		
Trace element solution (see Medium No.483)	ingredient:1886		
Trace element solution (see Medium No.741)	ingredient:1886		
Trace element solution (see Medium No.748)	ingredient:1886		
Trace element solution (see Medium No.899)	ingredient:1886		
Trace element solution SL12	ingredient:1812		
Trace element solution SL7 (see Medium No.516)	ingredient:1886		
Trace element solution SL8 (see Medium No.190)	ingredient:1886		
Trace element solution(see Medium No.187)	ingredient:1886		
Trace elements solution (see Medium No.1030)	ingredient:1886		
Trace elements solution (see Medium No.1182)	ingredient:1886		
Trace elements solution (see Medium No.310)	ingredient:1886		
Trace mineral solution (see Medium No.197)	ingredient:1958		
Trace minerals (see Medium No.151	ingredient:1883		
Trace minerals (see Medium No.151)	ingredient:1883		
Trace minerals (see Medium No.197	ingredient:1833		
Trace minerals (see Medium No.243)	ingredient:1833		
Trace minerals (see Medium No.324)	ingredient:1833		
